GPS Time, Device Time, Longitude, Latitude,GPS Speed (Meters/second), Horizontal Dilution of Precision, Altitude, Bearing, G(x), G(y), G(z), G(calibrated), 0-100kph Time(s),0-30mph Time(s),1/4 mile time(s),1/8 mile time(s),Absolute Throttle Position B(%),Acceleration Sensor(Total)(g),Acceleration Sensor(X axis)(g),Acceleration Sensor(Y axis)(g),Acceleration Sensor(Z axis)(g),Accelerator PedalPosition D(%),Accelerator PedalPosition E(%),Air Fuel Ratio(Commanded)(:1),Air Fuel Ratio(Measured)(:1),Android device Battery Level(%),Average trip speed(whilst stopped or moving)(mph),Barometric pressure (from vehicle)(psi),Commanded Equivalence Ratio(lambda),Distance travelled since codes cleared(miles),Distance travelled with MIL/CEL lit(miles),Engine Coolant Temperature(°C),Engine kW (At the wheels)(kW),Engine Load(%),Engine Load(Absolute)(%),Engine RPM(rpm),Fuel cost (trip)(cost),Fuel flow rate/hour(l/hr),Fuel flow rate/minute(cc/min),Fuel Remaining (Calculated from vehicle profile)(%),Fuel Trim Bank 1 Long Term(%),Fuel Trim Bank 1 Short Term(%),Fuel trim Bank 1 Sensor 2(%),Fuel used (trip)(l),GPS Accuracy(m),GPS Altitude(m),GPS Bearing(°),GPS Latitude(°),GPS Longitude(°),GPS Satellites,GPS vs OBD Speed difference(mph),Horsepower (At the wheels)(hp),Intake Air Temperature(°C),Intake Manifold Pressure(psi),Kilometers Per Litre(Instant)(kpl),Kilometers Per Litre(Long Term Average)(kpl),Litres Per 100 Kilometer(Long Term Average)(l/100km),Miles Per Gallon(Instant)(mpg),Miles Per Gallon(Long Term Average)(mpg),O2 Sensor1 Wide Range Current(mA),O2 Bank 1 Sensor 1 Wide Range Equivalence Ratio(λ),O2 Bank 1 Sensor 2 Voltage(V),Relative Throttle Position(%),Run time since engine start(s),Speed (GPS)(mph),Speed (OBD)(mph),Throttle Position(Manifold)(%),Timing Advance(°),Torque(Nm),Trip average KPL(kpl),Trip average Litres/100 KM(l/100km),Trip average MPG(mpg),Trip Distance(miles),Trip Time(Since journey start)(s),Trip time(whilst moving)(s),Trip time(whilst stationary)(s),Turbo Boost & Vacuum Gauge(psi),Voltage (Control Module)(V),Voltage (OBD Adapter)(V)
Wed Oct 08 13:38:06 GMT+05:30 2025,08-Oct-2025 13:38:06.726,73.9131986,18.57393256,0.0,9.935046195983887,517.3324584960938,0.0,-1.60797679,1.73060894,9.72921658,0.01932013,-,-,-,-,15.68627453,-0.02,-0.17,0.15000001,0.83999997,18.8235302,9.4117651,14.69999981,14.69108486,35,0,13.63354737,1,40721.56106772,3.10685596,45,-,22.74509811,18.8235302,967,0.01053041,1.24755943,20.79265785,99.98988342,9.375,1.5625,-,0.0078003,9.9350462,517.3324585,0,18.57393265,73.91320038,32,0,-,28,3.77098119,0,0,∞,0,0,-0.015625,0.99939352,0.45500001,3.13725495,139,0,0,15.68627453,11,-,0,∞,0,-,0,0,0,-9.86256599,14.56000042,14.39999962
Wed Oct 08 13:38:07 GMT+05:30 2025,08-Oct-2025 13:38:07.727,73.91319675,18.57393086,0.0,9.935046195983887,517.3143310546875,0.0,-1.62472653,1.60857499,9.57368374,0.00209212,-,-,-,-,15.68627453,0.01,-0.17,0.16,0.88,18.8235302,9.4117651,14.69999981,14.65521622,35,0,13.63354737,1,40721.56106772,3.10685596,45,-,22.74509811,18.8235302,967,0.01053041,1.24755943,20.79265785,99.98988342,9.375,1.5625,-,0.0078003,9.9350462,517.31433105,0,18.57393074,73.91320038,32,0,-,28,3.77098119,0,0,∞,0,0,-0.0234375,0.99695349,0.45500001,3.13725495,139,0,0,15.68627453,11,-,0,∞,0,-,0,0,0,-9.86256599,14.56000042,14.39999962
Wed Oct 08 13:38:08 GMT+05:30 2025,08-Oct-2025 13:38:08.726,73.91319628,18.5739308,0.0,9.935046195983887,517.2698974609375,0.0,-1.61276245,1.53140652,9.6071825,0.00396228,-,-,-,-,15.29411793,0,-0.17,0.16,0.87,18.8235302,9.4117651,14.69999981,14.65521622,35,0,13.63354737,1,40721.56106772,3.10685596,45,-,22.74509811,18.43137169,967,0.01053041,1.24755943,20.79265785,99.98988342,9.375,1.5625,-,0.0078003,9.9350462,517.26989746,0,18.57393074,73.91319275,30,0,-,28,3.77098119,0,0,∞,0,0,-0.0234375,0.99695349,0.45500001,3.13725495,143,0,0,15.68627453,11,-,0,∞,0,-,0,0,0,-9.86256599,14.56000042,14.39999962
Wed Oct 08 13:38:09 GMT+05:30 2025,08-Oct-2025 13:38:09.734,73.91319482,18.57393002,0.0,9.935046195983887,517.1830444335938,0.0,-1.31365967,1.60618222,9.62632561,0.00255287,-,-,-,-,15.29411793,0,-0.13,0.16,0.88,18.8235302,9.4117651,14.69999981,14.65521622,35,0,13.63354737,1,40721.56106772,3.10685596,45,-,22.74509811,18.43137169,952,0.01221491,1.2512598,20.85433006,99.9879303,9.375,1.5625,-,0.00904808,9.9350462,517.18304443,0,18.57393074,73.91319275,31,0,-,28,3.77098119,0,0,∞,0,0,-0.0234375,0.99695349,0.45500001,3.13725495,143,0,0,15.68627453,11,-,0,∞,0,-,0,0,0,-9.86256599,14.56000042,14.39999962
Wed Oct 08 13:38:10 GMT+05:30 2025,08-Oct-2025 13:38:10.729,73.9131954,18.57392877,0.0,9.935046195983887,517.0130615234375,0.0,-2.0099709,1.28255296,8.64706326,-0.08691269,-,-,-,-,15.29411793,0.08,-0.22,0.17,0.94,18.8235302,9.4117651,14.69999981,14.65521622,35,0,13.63354737,1,40721.56106772,3.10685596,45,-,22.74509811,18.43137169,952,0.01221491,1.2512598,20.85433006,99.9879303,9.375,1.5625,-,0.00904808,9.9350462,517.01306152,0,18.57392883,73.91319275,29,0,-,28,3.77098119,0,0,∞,0,0,-0.0234375,0.99695349,0.44999999,3.13725495,143,0,0,15.68627453,11,-,0,∞,0,-,0,0,0,-9.86256599,14.56000042,14.39999962
Wed Oct 08 13:38:11 GMT+05:30 2025,08-Oct-2025 13:38:11.729,73.91319358,18.57392906,0.0,9.935046195983887,517.3314819335938,0.0,-1.36630177,2.81037021,6.69810867,-0.24782771,-,-,-,-,15.29411793,0.04,-0.16,0.41,0.83999997,18.8235302,9.4117651,14.69999981,14.67315006,35,0,13.63354737,1,40721.56106772,3.10685596,45,-,22.74509811,18.43137169,952,0.01221491,1.2512598,20.85433006,99.9879303,9.375,1.5625,-,0.00904808,9.9350462,517.33148193,0,18.57392883,73.91319275,30,0,-,28,3.77098119,0,0,∞,0,0,-0.01953125,0.99817348,0.44999999,3.13725495,143,0,0,15.68627453,11,-,0,∞,0,-,0,0,0,-9.86256599,14.56000042,14.39999962
Wed Oct 08 13:38:12 GMT+05:30 2025,08-Oct-2025 13:38:12.729,73.91319175,18.5739364,0.6499999761581421,9.935046195983887,517.4442749023438,10.0,-2.91027045,1.96510565,11.17328548,0.19263387,-,-,-,-,15.29411793,0.12,0.58999997,0.33000001,0.79000002,18.8235302,9.4117651,14.69999981,14.67315006,35,0,13.63354737,1,40721.56106772,3.10685596,45,-,22.74509811,18.8235302,952,0.01390679,1.23034477,20.50574684,99.98597717,9.375,1.5625,-,0.01030133,9.9350462,517.4442749,10,18.57393646,73.91319275,32,0,-,28,3.77098119,0,0,∞,0,0,-0.01953125,0.99817348,0.44999999,3.13725495,146,1.45400854,0,15.68627453,11,-,0,∞,0,-,0,0,0,-9.86256599,14.56000042,14.39999962
Wed Oct 08 13:38:13 GMT+05:30 2025,08-Oct-2025 13:38:13.727,73.91319527,18.57394117,0.0,9.935046195983887,518.8028564453125,0.0,0.74775708,2.46041989,9.30568695,-0.01711667,-,-,-,-,15.29411793,0,0.07,0.22,0.86000001,18.8235302,9.4117651,14.69999981,14.67315006,35,0,13.63354737,1,40721.56106772,3.10685596,45,-,22.74509811,18.8235302,968,0.01390679,1.23034477,20.50574684,99.98597717,9.375,1.5625,-,0.01030133,9.9350462,518.80285645,0,18.57394028,73.91319275,37,1.45400854,-,28,3.77098119,0,0,∞,0,0,-0.01953125,0.99817348,0.44999999,3.13725495,146,0,0,21.96078491,27,-,0,∞,0,-,0,0,0,-9.86256599,14.56000042,14.39999962
Wed Oct 08 13:38:14 GMT+05:30 2025,08-Oct-2025 13:38:14.739,73.91319243,18.57394301,0.3499999940395355,9.935046195983887,519.710693359375,272.6000061035156,1.45184517,3.63110828,8.91266632,-0.00912565,-,-,-,-,15.29411793,0.01,0.13,0.36000001,0.82999998,18.8235302,9.4117651,14.69999981,14.67315006,35,0,13.63354737,1,40721.56106772,3.10685596,45,-,22.74509811,18.8235302,968,0.01390679,1.23034477,20.50574684,99.98597717,10.15625,1.5625,-,0.01030133,9.9350462,519.71069336,272.6000061,18.57394218,73.91319275,41,1.45400854,-,28,3.77098119,0,0,∞,0,0,-0.01953125,0.99817348,0.45500001,3.13725495,146,0.7829277,0,21.96078491,27,-,0,∞,0,-,0,0,0,-9.86256599,14.5,14.39999962
Wed Oct 08 13:38:15 GMT+05:30 2025,08-Oct-2025 13:38:15.727,73.91317466,18.57394828,2.6700000762939453,9.935046195983887,520.52294921875,281.29998779296875,0.82253277,3.24586391,9.59043312,0.03423071,-,-,-,-,19.2156868,0.03,0.08,0.33000001,0.87,30.58823586,15.29411793,14.69999981,14.78792763,35,0,13.63354737,1,40721.56106772,3.10685596,45,-,22.74509811,48.23529434,968,0.01390679,1.23034477,20.50574684,99.98597717,10.15625,1.5625,-,0.01030133,9.9350462,520.52294922,281.29998779,18.57394791,73.91317749,49,1.45400854,-,28,3.77098119,0,0,∞,0,0,0,1.00598145,0.45500001,7.45098019,146,5.97262019,0,21.96078491,27,-,0,∞,0,-,0.063,0,0.063,-9.86256599,14.5,14.39999962
